ID,Availability,Honesty,Dataset Size,Frequency,Transmission Rate,Task,Dropout
0,True,0,100,300,1000,0,False
1,True,0,900,200,530,0,False
2,True,0,350,150,690,0,False
3,True,0,740,140,680,0,False
4,False,0,300,100,390,0,False
5,True,0,810,190,860,0,True
6,True,0,690,210,460,1,False
7,False,0,830,290,300,1,False
8,True,0,450,300,710,0,False
9,True,0,810,210,390,0,False
10,True,0,1000,190,190,1,False
11,True,0,770,60,640,1,False
12,False,0,680,140,370,1,False
13,False,0,140,170,750,1,False
14,False,0,500,160,210,0,False
15,True,0,540,220,730,0,False
16,True,0,930,210,960,0,False
17,True,0,340,210,880,1,True
18,False,0,270,140,930,0,False
19,False,0,260,260,660,0,False
20,True,0,310,190,680,0,False
21,True,0,730,150,930,1,False
22,False,0,120,50,470,0,False
23,True,0,380,220,740,0,False
24,True,0,160,290,460,1,False
25,True,0,360,300,620,0,False
26,True,0,370,270,940,0,False
27,True,0,820,110,220,0,False
28,True,0,480,240,510,0,False
29,True,0,580,150,310,1,False
30,True,0,980,130,710,0,False
31,False,0,880,270,220,0,False
32,True,0,420,290,950,0,False
33,False,0,270,170,770,0,True
34,True,0,490,50,860,0,False
35,True,0,340,250,220,0,False
36,True,0,940,120,1000,0,False
37,True,0,330,210,600,0,False
38,True,0,860,130,830,0,False
39,True,0,490,140,990,0,False
40,True,0,900,150,650,0,False
41,True,0,750,230,620,0,False
42,True,0,880,200,530,0,False
43,True,0,570,160,840,1,False
44,False,0,680,220,350,0,False
45,True,0,790,220,890,0,True
46,True,0,410,220,350,0,False
47,True,0,360,240,480,0,False
48,True,0,100,120,320,0,False
49,True,0,890,80,250,0,False
50,True,0,700,290,520,1,False
51,True,0,880,130,240,0,False
52,True,0,830,70,900,0,False
53,False,0,470,160,960,1,True
54,True,0,780,130,460,0,False
55,True,0,590,220,620,0,False
56,True,0,620,250,930,0,False
57,True,0,840,70,370,1,False
58,True,0,170,180,740,1,False
59,True,0,500,90,180,0,False
60,True,0,790,120,570,1,False
61,True,0,330,190,510,0,False
62,False,0,370,120,190,0,False
63,True,0,170,150,910,1,False
64,True,0,740,160,760,0,False
65,False,0,310,290,800,0,False
66,True,0,880,170,690,1,False
67,False,0,280,160,370,1,False
68,True,0,740,60,920,0,False
69,True,0,240,120,570,0,False
70,True,0,660,250,400,0,False
71,False,0,820,280,280,0,False
72,True,0,980,110,600,0,False
73,True,0,170,260,380,1,False
74,False,0,830,270,250,1,False
75,True,0,390,220,340,0,False
76,True,0,550,260,700,0,False
77,False,0,140,120,870,0,False
78,True,0,910,140,700,1,False
79,True,0,400,220,200,1,False
80,False,0,720,210,300,1,False
81,True,0,320,270,900,0,False
82,True,0,120,130,910,1,False
83,True,0,110,130,340,0,False
84,True,0,540,140,800,1,False
85,True,0,820,110,670,0,False
86,True,0,800,170,890,0,False
87,False,0,390,180,210,1,False
88,True,0,630,210,150,0,False
89,True,0,280,290,650,0,False
90,True,0,860,130,410,0,False
91,True,0,830,160,360,0,False
92,True,0,890,140,260,0,False
93,False,0,910,200,420,1,False
94,True,0,140,130,640,0,False
95,True,0,480,80,520,0,False
96,True,0,160,50,630,0,False
97,True,0,590,220,790,0,False
98,True,0,780,230,290,1,False
99,True,0,570,240,850,0,False
100,True,0,360,220,650,1,False